,RMSE,LAG,RPR
Mean,95.54954774222573,0.0,1.1120826709053164
Interpolation,2.223633624140197,0.0,0.895866454689272
Forward_Fill,3.156972468869432,0.0,1.1669316375189451
GAN,126.33981403179223,0.0,1.104928457868756
MLE,95.54954774222573,0.0,1.1120826709053164
EM,3.758569181034937,0.0,1.0532591414935983
