alpha,val_rmse,val_mae,val_r2,val_ic
100.0,0.015949057957717824,0.01091621583890943,-0.007825141513374767,-0.014991723370601218
10.0,0.015958688710823347,0.010922654509527138,-0.00904264860751991,-0.015291291467724653
1.0,0.0159967487577668,0.01095116308165463,-0.013861340992140203,-0.014488917464905857
0.1,0.0160134927989359,0.010964039510094012,-0.015984900082917974,-0.014349531022938738
0.01,0.016015675943165157,0.010965746082208912,-0.01626194055047847,-0.014335002169249985
0.001,0.016015900744045065,0.010965922005540573,-0.016290469871701685,-0.014333139161911522
0.0001,0.01601592329075835,0.010965939639006685,-0.01629333128128896,-0.014333414466451862
