,0
logret_roll_std_10,0.06496681248171221
realized_vol_20,0.0639832110148868
logret_roll_std_20,0.06396955081500533
logret_roll_var_20,0.06311072647613347
logret_roll_var_10,0.060929851879113706
logret_roll_var_60,0.060805844751083526
logret_roll_std_60,0.05569677992401445
logret_roll_std_5,0.054123422672733845
logret_roll_min_20,0.05150378302055181
logret_roll_var_5,0.05115341825680453
logret_roll_min_10,0.049296478300481006
logret_roll_min_60,0.047496740734684906
logret_roll_max_20,0.04141227949421111
bb_bb_bandwidth,0.04047106169448167
logret_roll_max_10,0.039607659268392936
logret_roll_min_5,0.039415881836653455
diff_log_close_2,0.03473931824412091
filt_logret_wma_5,0.03442184166699214
filt_logret_ema_12,0.034240225905791455
ret_1d,0.03291635785700642
excess_ret_1d,0.03285974939734615
diff_log_close_1,0.03273424484817333
logret_1d,0.032713491093235625
ret_21d,0.032355298616155714
cumret_21d,0.03233107726801876
logret_21d,0.03224829307341004
cumret_5d,0.031121042821845357
ret_5d,0.03110121932284926
filt_logret_wiener_5,0.031089989949212082
logret_5d,0.031007644158111525
logret_roll_mean_5,0.031000860537941044
ret_lag_1,0.02999685402675656
logret_lag_1,0.029962749254239363
filt_logret_kalman_r0p1_q0p01,0.029572940023491867
filt_logret_savgol_11_2,0.02870319871406668
logret_roll_max_5,0.02863564388414641
filt_logret_lattice_demo,0.028388417466782556
logret_roll_max_60,0.02826655229375863
sma_ratio_20,0.02768379869331028
filt_logret_lms_mu1e-4_taps5,0.02753762911259816
logret_roll_mean_20,0.026265116064010385
roc_10,0.026019542094135595
ema_ratio_20,0.025804655203215177
logret_roll_mean_10,0.025365925796501543
filt_logret_sma_5,0.023787131068278455
logret_lag_5,0.02132942314983044
ret_lag_5,0.021198466920060888
logret_roll_mean_60,0.0207912875219316
macd_macd,0.020132349337714572
filt_logret_spectral_0p1,0.019683532918983282
volume,0.019492900206164343
log_volume,0.019350258966844613
adx_minus_di,0.018810727135805116
volume_roll_std_60,0.017848228868963645
volume_roll_mean_60,0.017091857556712498
filt_resid_ema_12,0.01646586980253595
macd_macd_signal,0.015305218299420886
volume_zscore_60,0.015297520963821754
fib_fib_50_0,0.01509321734072433
volume_roll_mean_20,0.014982183238920754
stoch_stoch_d,0.014065264763853058
ad_line,0.013926746642634491
fib_fib_61_8,0.013870420842514442
volume_roll_std_20,0.013208373729441725
volume_roll_mean_5,0.013173876660614425
obv,0.012999649684273251
filt_close_sma_5,0.012832943019207121
fib_fib_38_2,0.012810190291625112
filt_close_wma_5,0.012621739372867147
filt_close_kalman_r0p1_q0p01,0.012514007972971086
fib_fib_76_4,0.01193999079473329
volume_roll_std_5,0.011699860133922435
filt_resid_kalman_r0p1_q0p01,0.011499543415531832
ichimoku_ichimoku_base,0.01133356053802359
volume_zscore_20,0.011232269276015394
aroon_aroon_down,0.011154417746746415
cci_20,0.010951613197836885
ichimoku_ichimoku_lagging,0.01040739361470866
volume_zscore_5,0.00996726186444441
filt_close_savgol_11_2,0.009854636875744838
fib_fib_swing_low,0.00968189553522869
filt_resid_spectral_0p1,0.009596106392114834
ichimoku_ichimoku_span_b,0.009384957116583159
bb_bb_percent_b,0.00933207141658432
rsi_14,0.008948502254432
fib_retr_60,0.008887042418661117
filt_resid_sma_5,0.008700518285510661
ichimoku_ichimoku_conv,0.008668607343017776
fib_fib_swing_high,0.008441632589229364
bb_bb_mid,0.008348104910414378
bb_bb_upper,0.008343622298497166
filt_close_spectral_0p1,0.008293143467199116
wrobv_20,0.00816417001012315
filt_resid_lattice_demo,0.007874838050491384
macd_macd_hist,0.0075761968484275855
filt_close_wiener_5,0.007357460562826823
close_minmax_20,0.007327964664724185
fib_fib_23_6,0.007125622008012478
bb_bb_lower,0.0071059402998274734
filt_close_ema_12,0.007045879961847135
filt_resid_lms_mu1e-4_taps5,0.007028277217328238
filt_resid_wma_5,0.006981734911993165
volume_minmax_20,0.006782711130104424
filt_close_lms_mu1e-4_taps5,0.006501262217339487
filt_resid_wiener_5,0.006447917682252502
aroon_aroon_up,0.006291480800954652
obv_roc_10,0.006031835409247677
adx_adx_raw,0.005967856657950854
ichimoku_ichimoku_span_a,0.005812545340432962
stoch_stoch_k,0.005182737484652478
adx_plus_di,0.005132548754837707
bos,0.005103206997912224
rmacd_12_26_9,0.004971437465659534
filt_close_lattice_demo,0.004747971351744873
atr_14,0.004329271527677037
close,0.0041327109588786826
adx_adx,0.0030170110766212233
logret_zscore_20,0.0018051198116832978
choch,0.0012121517152865469
mss,0.0009183777996779607
filt_resid_savgol_11_2,0.0
