alpha,cv_rmse_mean,cv_rmse_std
100.0,0.019662603436915282,0.0029018633890378954
10.0,0.019685891974250126,0.0029253086815754156
0.0001,0.019696209364574606,0.0029495377308528864
0.001,0.01969657309031424,0.0029481513300126986
1.0,0.01969745146113392,0.002940442427739006
0.01,0.019698696107667828,0.0029454093241320875
0.1,0.019699770055382253,0.0029435532047393663
