alpha,l1_ratio,cv_rmse_mean,cv_rmse_std
0.01,0.5,0.019516135709885876,0.0029450122524424657
0.01,0.7,0.019516135709885876,0.0029450122524424657
0.01,0.9,0.019516135709885876,0.0029450122524424657
0.1,0.1,0.019516135709885876,0.0029450122524424657
0.01,0.3,0.019516135709885876,0.0029450122524424657
10.0,0.3,0.019516135709885876,0.0029450122524424657
10.0,0.1,0.019516135709885876,0.0029450122524424657
1.0,0.9,0.019516135709885876,0.0029450122524424657
1.0,0.7,0.019516135709885876,0.0029450122524424657
1.0,0.5,0.019516135709885876,0.0029450122524424657
1.0,0.3,0.019516135709885876,0.0029450122524424657
1.0,0.1,0.019516135709885876,0.0029450122524424657
0.1,0.9,0.019516135709885876,0.0029450122524424657
0.1,0.7,0.019516135709885876,0.0029450122524424657
0.1,0.5,0.019516135709885876,0.0029450122524424657
0.1,0.3,0.019516135709885876,0.0029450122524424657
10.0,0.7,0.019516135709885876,0.0029450122524424657
10.0,0.9,0.019516135709885876,0.0029450122524424657
10.0,0.5,0.019516135709885876,0.0029450122524424657
0.01,0.1,0.01952669844661902,0.0029399848512577866
0.001,0.9,0.01953035827951563,0.0029383421673138035
0.001,0.7,0.019540277217350292,0.0029341159864884254
0.001,0.5,0.019551204128265963,0.002928687431031562
0.001,0.3,0.019557579983115685,0.002915786339822308
0.001,0.1,0.019563273477976907,0.002883396623174408
0.0001,0.9,0.0195656788138286,0.002881751984313655
0.0001,0.7,0.019571542984579415,0.0028778361248485975
0.0001,0.5,0.01957989111193311,0.002875324873244564
0.0001,0.3,0.01959684807771033,0.002876974166540726
0.0001,0.1,0.019631213454985526,0.002882462761857284
